Strain	Replicate	ExposureTime	RelativeSurvival		
BW25113	A1	0	100		
BW25113	A1	1	66.6666666666667		
BW25113	A1	10	17.1428571428571		
BW25113	A1	20	5		
BW25113	A1	30	1.6		
BW25113	A1	40	1.375		
BW25113	A1	50	1.1		
BW25113	A1	60	1.2		
BW25113	A2	0	100		
BW25113	A2	1	33.3333333333333		
BW25113	A2	10	5.45454545454545		
BW25113	A2	20	8.33333333333333		
BW25113	A2	30	2.22222222222222		
BW25113	A2	40	1.11111111111111		
BW25113	A2	50	0.714285714285714		
BW25113	A2	60	1.6		
BW25113	A3	0	100		
BW25113	A3	1	60		
BW25113	A3	10	7.85714285714286		
BW25113	A3	20	5		
BW25113	A3	30	0.866666666666667		
BW25113	A3	40	0.75		
BW25113	A3	50	1		
BW25113	A3	60	0.222222222222222		
BW25113	A4	0	100		
BW25113	A4	1	18		
BW25113	A4	10	18.3333333333333		
BW25113	A4	20	20		
BW25113	A4	30	1.3		
BW25113	A4	40	2		
BW25113	A4	50	0.928571428571429		
BW25113	A4	60	0.6		
BW25113	A5	0	100		
BW25113	A5	1	66.6666666666667		
BW25113	A5	10	15.5555555555556		
BW25113	A5	20	5		
BW25113	A5	30	1.16666666666667		
BW25113	A5	40	0.75		
BW25113	A5	50	1.25		
BW25113	A5	60	0.333333333333333		
BW25113	A6	0	100		
BW25113	A6	1	50		
BW25113	A6	10	20		
BW25113	A6	20	35		
BW25113	A6	30	8		
BW25113	A7	0	100		
BW25113	A7	1	50		
BW25113	A7	10	6.66666666666667		
BW25113	A7	20	10		
BW25113	A7	30	0.6		
BW25113	A7	40	0.666666666666667		
BW25113	A7	50	0.75		
BW25113	A7	60	1.16666666666667		
recB	B1	0	100		
recB	B1	1	0.333333333333333		
recB	B1	10	0.166666666666667		
recB	B1	20	0.5		
recB	B1	30	0.2		
recB	B1	40	0.333333333333333		
recB	B1	50	0.166666666666667		
recB	B1	60	0.142857142857143		
recB	B2	0	100		
recB	B2	1	1		
recB	B2	10	1		
recB	B2	20	1		
recB	B2	30	0.111111111111111		
recB	B2	40	0.166666666666667		
recB	B2	50	0.333333333333333		
recB	B2	60	0.2		
recB	B3	0	100		
recB	B3	1	0.333333333333333		
recB	B3	10	1		
recB	B3	20	0.25		
recB	B3	30	0.2		
recB	B3	40	0.142857142857143		
recB	B3	50	0.333333333333333		
recB	B3	60	0.25		
recC	C1	0	100		
recC	C1	1	0.142857142857143		
recC	C1	10	0.142857142857143		
recC	C1	20	0.25		
recC	C1	30	0.125		
recC	C1	40	0.142857142857143		
recC	C1	50	0.2		
recC	C1	60	0.125		
recC	C2	0	100		
recC	C2	1	0.25		
recC	C2	10	1		
recC	C2	20	0.5		
recC	C2	30	0.333333333333333		
recC	C2	40	0.2		
recC	C2	50	0.166666666666667		
recC	C2	60	0.142857142857143		
recC	C3	0	100		
recC	C3	1	0.333333333333333		
recC	C3	10	0.166666666666667		
recC	C3	20	0.5		
recC	C3	30	0.142857142857143		
recC	C3	40	0.25		
recC	C3	50	0.125		
recC	C3	60	0.125		
recD	D1	0	100		
recD	D1	1	66.6666666666667		
recD	D1	10	10		
recD	D1	20	58.3333333333333		
recD	D1	30	12.5		
recD	D1	40	9.33333333333333		
recD	D1	50	17.7777777777778		
recD	D1	60	17.2727272727273		
recD	D2	0	100		
recD	D2	1	8		
recD	D2	10	62.5		
recD	D2	20	12.5		
recD	D2	30	50		
recD	D2	40	28.3333333333333		
recD	D2	50	14.2857142857143		
recD	D2	60	10		
recD	D3	0	100		
recD	D3	1	114.285714285714		
recD	D3	10	33.3333333333333		
recD	D3	20	8.57142857142857		
recD	D3	30	11.25		
recD	D3	40	8.88888888888889		
recD	D3	50	18.3333333333333		
recD	D3	60	10		
recF	E4	0	100		
recF	E4	1	25		
recF	E4	10	18.5714285714286		
recF	E4	20	16.6666666666667		
recF	E4	30	44		
recF	E4	40	11.8181818181818		
recF	E4	50	20		
recF	E4	60	20		
recF	E5	0	100		
recF	E5	1	140		
recF	E5	10	66.6666666666667		
recF	E5	20	15.7142857142857		
recF	E5	30	75		
recF	E5	40	42.8571428571429		
recF	E5	50	75		
recF	E5	60	18.5714285714286		
recF	E6	0	100		
recF	E6	1	66.6666666666667		
recF	E6	10	300		
recF	E6	20	37.5		
recF	E6	30	65		
recF	E6	40	18		
recF	E7	0	100		
recF	E7	1	300		
recF	E7	10	46.6666666666667		
recF	E7	20	125		
recF	E7	30	50		
recF	E7	40	21.6666666666667		
recF	E7	50	15		
recF	E7	60	10		
recR	F4	0	100		
recR	F4	1	21.6666666666667		
recR	F4	10	30		
recR	F4	20	6.33333333333333		
recR	F4	30	7.5		
recR	F4	40	0.6		
recR	F4	50	0.3125		
recR	F4	60	0.666666666666667		
recR	F5	0	100		
recR	F5	1	50		
recR	F5	10	10		
recR	F5	20	5.83333333333333		
recR	F5	30	1.77777777777778		
recR	F5	40	0.6		
recR	F5	50	1.25		
recR	F5	60	1.11111111111111		
recR	F6	0	100		
recR	F6	1	14.2857142857143		
recR	F6	10	23.3333333333333		
recR	F6	20	35.2941176470588		
recR	F6	30	1.1		
recR	F6	40	0.555555555555556		
recR	F7	0	100		
recR	F7	1	12.5		
recR	F7	10	4		
recR	F7	20	3		
recR	F7	30	1.66666666666667		
recR	F7	40	0.363636363636364		
recR	F7	50	0.714285714285714		
recR	F7	60	0.454545454545455		
